127.0.0.1 - - [25/Feb/2025:18:52:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:52:45 +0530] "GET /Web/NewFile.jsp HTTP/1.1" 200 128
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:52:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:56:25 +0530] "GET /Web/NewFile.jsp HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [25/Feb/2025:18:56:25 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:01:24 +0530] "GET /Web/login.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:01:33 +0530] "POST /Web/validate.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:02:08 +0530] "POST /Web/validate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:02:08 +0530] "GET /Web/cart.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:05:44 +0530] "GET /Web/login.jsp HTTP/1.1" 200 380
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:06:20 +0530] "POST /Web/validate.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:19:06:20 +0530] "GET /Web/cart.jsp HTTP/1.1" 200 316
