127.0.0.1 - - [15/Mar/2025:08:10:19 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:19 +0530] "GET /Airline-Reservation-System/reports.jsp HTTP/1.1" 200 3902
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:20 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:30 +0530] "GET /Airline-Reservation-System/detailed_report.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:32 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:32 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:32 +0530] "GET /Airline-Reservation-System/resources/images/plane-desktop.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:52 +0530] "GET /Airline-Reservation-System/index.jsp HTTP/1.1" 500 3213
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:57 +0530] "GET /Airline-Reservation-System/index.jsp HTTP/1.1" 500 3213
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:10:57 +0530] "GET /Airline-Reservation-System/index.jsp HTTP/1.1" 500 6084
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:20 +0530] "GET /Airline-Reservation-System/index.jsp HTTP/1.1" 500 3213
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:37 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:37 +0530] "GET /Airline-Reservation-System/passengerdash.jsp HTTP/1.1" 200 2233
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:42 +0530] "POST /Airline-Reservation-System/logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:42 +0530] "GET /Airline-Reservation-System/login.jsp HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:42 +0530] "GET /Airline-Reservation-System/resources/images/plane-desktop.jpg HTTP/1.1" 404 824
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:48 +0530] "POST /Airline-Reservation-System/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:48 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:52 +0530] "GET /Airline-Reservation-System/admindash.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:53 +0530] "GET /Airline-Reservation-System/manage_users.jsp HTTP/1.1" 200 3807
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:11:56 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:13:08 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6549
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:13:39 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6277
0:0:0:0:0:0:0:1 - - [15/Mar/2025:08:14:20 +0530] "GET /Airline-Reservation-System/manage_flights.jsp HTTP/1.1" 200 6605
